RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
102,62441466,Customer_101,563,France,Female,52,2,69936.49,2,1,0,123170.1,1
103,59583876,Customer_102,616,France,Male,65,9,82999.57,3,0,0,64328.19,1
104,96117865,Customer_103,756,Germany,Female,26,0,165699.07,2,1,1,121435.11,0
105,73203558,Customer_104,606,Germany,Female,25,8,217658.47,2,1,1,52805.86,0
106,47407771,Customer_105,651,Spain,Female,69,5,189771.73,2,1,1,20198.34,1
107,93122310,Customer_106,450,Germany,Female,62,8,181882.31,3,1,1,140569.56,1
108,37009224,Customer_107,754,Germany,Female,34,6,121097.8,1,0,1,65237.16,0
109,61327755,Customer_108,695,France,Male,34,0,173451.39,2,1,0,120976.96,1
110,89018913,Customer_109,459,France,Male,66,0,138190.59,1,1,1,49080.18,1
111,17130144,Customer_110,769,Spain,Female,50,5,54062.63,1,0,0,100491.12,0
112,14545583,Customer_111,531,Germany,Female,49,4,52147.09,3,0,1,132263.52,0
113,64079037,Customer_112,820,Germany,Male,25,8,74098.0,3,1,0,15830.16,0
114,64474455,Customer_113,662,France,Female,36,1,227700.67,1,1,1,126289.01,0
115,51542436,Customer_114,350,Germany,Male,55,7,136853.71,2,0,1,89986.62,1
116,56626914,Customer_115,668,France,Female,20,4,183476.34,3,0,1,95046.05,0
117,63933927,Customer_116,787,Spain,Female,22,1,86639.69,2,0,1,83242.12,0
118,62453338,Customer_117,404,France,Female,30,9,101928.94,2,1,1,132426.51,0
119,24881728,Customer_118,720,Germany,Female,64,5,31391.39,2,1,1,16080.67,0
120,44045666,Customer_119,773,Spain,Female,63,9,42823.74,1,0,0,46543.97,1
121,22722094,Customer_120,748,France,Female,48,7,206839.14,2,1,1,132606.76,0
122,32178434,Customer_121,498,France,Female,33,3,146209.66,1,0,0,115328.4,1
123,56321408,Customer_122,780,Spain,Male,67,1,84383.12,1,1,1,12470.32,0
124,22796932,Customer_123,806,Spain,Male,49,4,200712.8,2,0,0,82380.88,1
125,84023414,Customer_124,658,France,Male,39,1,61629.98,2,0,0,84140.18,0
126,36063245,Customer_125,486,Germany,Female,46,1,244008.17,2,1,0,66123.5,1
127,49443226,Customer_126,551,France,Female,39,5,86204.4,2,1,0,51635.07,0
128,83619289,Customer_127,785,Spain,Female,60,9,84327.74,1,1,0,105441.48,1
129,17887739,Customer_128,662,France,Female,20,8,77977.98,2,1,0,39090.67,0
130,70736972,Customer_129,466,Spain,Female,27,3,30527.88,2,1,1,121852.8,0
131,71071026,Customer_130,503,Spain,Female,59,5,27784.29,1,1,0,122425.2,1
132,10769598,Customer_131,774,Germany,Female,38,6,162026.26,3,0,1,68136.6,0
133,99178975,Customer_132,640,Spain,Male,33,5,218779.51,3,1,1,49696.72,0
134,59007334,Customer_133,412,Spain,Female,29,7,197630.13,1,0,0,49742.95,1
135,38433648,Customer_134,593,Germany,Male,19,3,35276.9,3,0,0,77520.79,0
136,17971379,Customer_135,374,Spain,Male,58,0,136395.53,1,1,1,110741.09,1
137,13331068,Customer_136,439,Germany,Female,41,6,26397.89,2,0,0,60241.62,0
138,46810847,Customer_137,424,Germany,Female,52,2,11323.66,2,0,0,95406.07,1
139,44428803,Customer_138,643,Spain,Male,47,5,164096.46,3,1,0,63547.82,1
140,15654237,Customer_139,735,Spain,Male,47,1,133788.08,2,1,0,52633.25,1
141,71553124,Customer_140,740,France,Female,64,8,20505.92,3,1,0,13480.33,1
142,55816038,Customer_141,559,Germany,Female,52,0,8734.81,3,0,0,10547.97,1
143,27750764,Customer_142,824,France,Male,36,5,247439.1,2,1,0,41809.07,1
144,46898446,Customer_143,767,Spain,Female,67,5,7505.33,2,1,1,66896.88,0
145,33841962,Customer_144,696,France,Female,25,4,111132.06,3,1,0,129176.56,1
146,76834972,Customer_145,366,Germany,Female,43,4,126154.76,2,1,1,121787.79,0
147,53156515,Customer_146,477,France,Male,66,0,29320.04,1,0,1,47403.14,0
148,32993420,Customer_147,776,Germany,Male,57,9,42265.44,2,1,1,44235.66,0
149,72190751,Customer_148,792,Spain,Male,24,4,87951.25,2,0,1,41825.09,0
150,31970758,Customer_149,713,Spain,Female,47,1,190418.97,1,1,0,57493.23,1
151,46513466,Customer_150,600,Germany,Female,24,6,126770.61,2,0,1,79747.82,0
152,41288562,Customer_151,528,Spain,Male,20,2,159475.47,2,0,1,71413.49,0
153,31351509,Customer_152,531,Spain,Male,18,3,246293.64,3,0,1,40558.25,0
154,33484187,Customer_153,501,Spain,Male,53,2,192001.36,2,1,1,28263.2,1
155,71777469,Customer_154,374,Spain,Female,42,2,108590.37,2,0,1,11760.89,0
156,46093880,Customer_155,804,Germany,Male,54,3,111610.48,1,1,0,31554.85,1
157,60441204,Customer_156,529,France,Male,18,4,154693.02,3,1,0,108749.89,1
158,91752859,Customer_157,547,France,Female,32,0,166341.3,3,1,1,44109.4,0
159,54066131,Customer_158,693,Spain,Female,54,3,125177.73,3,1,0,75604.25,1
160,85415325,Customer_159,510,France,Female,30,7,161215.31,2,1,0,92782.16,1
161,45563453,Customer_160,526,France,Male,57,9,5883.12,3,0,1,134157.73,0
162,44755914,Customer_161,634,Spain,Female,25,6,107405.72,1,1,1,134439.71,0
163,60873983,Customer_162,412,Spain,Female,22,8,69734.52,3,0,1,114402.72,0
164,63892568,Customer_163,840,France,Male,26,4,32293.61,1,0,0,14921.98,0
165,33637222,Customer_164,499,Germany,Female,18,9,24886.63,3,0,1,90509.86,0
166,12484413,Customer_165,503,Spain,Male,53,3,150798.04,3,0,0,120121.69,1
167,80016224,Customer_166,505,Germany,Male,52,7,130900.14,1,0,0,12420.33,1
168,49449976,Customer_167,719,France,Female,19,8,63396.03,3,0,0,86955.85,0
169,99583549,Customer_168,818,Spain,Female,57,6,117737.51,3,0,1,130086.98,1
170,12235000,Customer_169,398,Germany,Female,40,6,123058.08,3,1,0,76374.29,1
171,33685747,Customer_170,804,Spain,Female,26,4,48752.25,2,0,1,10574.87,0
172,47876684,Customer_171,686,France,Female,51,3,163023.27,1,1,1,11541.87,1
173,82931048,Customer_172,433,Germany,Female,63,9,195229.84,3,0,1,68329.05,1
174,39859174,Customer_173,710,France,Male,31,0,197865.89,1,0,1,31701.21,0
175,46102853,Customer_174,526,France,Male,21,9,150617.46,1,0,1,103023.09,0
176,56159303,Customer_175,497,Spain,Female,47,9,127909.65,1,0,0,109231.9,1
177,22195226,Customer_176,467,Germany,Male,48,6,15251.79,3,1,0,34903.17,0
178,57936136,Customer_177,691,France,Female,55,0,71957.82,3,1,0,134394.66,1
179,79062973,Customer_178,825,France,Male,28,0,23317.86,1,1,0,71867.1,0
180,24421668,Customer_179,412,Germany,Male,52,4,240955.79,2,0,0,29998.43,1
181,31200096,Customer_180,538,France,Male,25,8,33770.04,1,0,1,116995.22,0
182,93375337,Customer_181,709,France,Female,20,5,37943.85,2,0,1,120596.43,0
183,33234510,Customer_182,398,Germany,Male,31,2,222394.15,1,1,0,99501.37,1
184,61715898,Customer_183,676,Germany,Female,30,2,235982.07,1,0,0,129485.18,1
185,55968757,Customer_184,606,Germany,Male,62,6,191457.26,1,1,0,113232.22,1
186,10061087,Customer_185,573,Germany,Male,49,5,1351.23,3,1,1,133508.8,0
187,90705119,Customer_186,490,Spain,Male,51,8,336.57,2,0,1,70744.33,0
188,76653416,Customer_187,827,Germany,Male,62,5,94525.19,2,0,1,114663.6,0
189,95382256,Customer_188,564,Spain,Male,36,4,35848.84,1,1,0,149965.22,0
190,20274621,Customer_189,784,Spain,Female,55,9,4596.54,3,1,0,111490.37,1
191,23022704,Customer_190,728,Spain,Female,33,6,116016.67,3,1,0,25985.73,1
192,26816569,Customer_191,789,France,Male,19,0,235765.47,2,0,0,82564.62,1
193,17654909,Customer_192,560,Spain,Male,57,6,80954.89,3,0,1,92228.69,0
194,47814054,Customer_193,667,Spain,Male,34,2,165285.17,2,0,0,34389.49,1
195,94302960,Customer_194,381,France,Male,51,8,163058.84,2,0,0,144804.83,1
196,25421040,Customer_195,507,France,Female,59,5,62770.03,2,0,0,34581.17,1
197,34210512,Customer_196,634,France,Male,33,8,162606.31,3,0,1,34858.11,0
198,82073914,Customer_197,654,Germany,Female,55,4,53083.49,2,1,1,138123.4,0
199,77922032,Customer_198,778,France,Male,19,6,30501.85,2,1,0,75128.76,0
200,43779713,Customer_199,826,France,Female,19,3,175345.82,1,1,1,18846.36,0
201,21506305,Customer_200,635,Spain,Male,43,6,28360.2,2,0,1,93746.25,0
202,30560091,Customer_201,493,France,Male,30,0,249227.3,2,1,1,94255.69,0
203,96881845,Customer_202,773,Germany,Female,64,6,45863.1,1,0,1,19030.11,0
204,17734102,Customer_203,368,France,Male,48,7,148535.47,1,0,1,146153.15,0
205,15674719,Customer_204,367,Germany,Male,51,4,102843.64,3,1,0,86164.2,1
206,18658144,Customer_205,606,France,Male,56,1,31596.61,2,0,0,88371.4,1
207,50163712,Customer_206,427,France,Female,20,4,6960.98,3,1,0,82816.16,0
208,99386386,Customer_207,720,France,Male,25,5,155683.07,3,1,1,95502.45,0
209,95447809,Customer_208,524,France,Male,40,1,201689.39,1,0,1,47001.97,0
210,98917675,Customer_209,847,Germany,Female,31,5,210503.92,3,1,1,50213.79,0
211,54165849,Customer_210,543,Germany,Female,44,5,120678.37,2,1,1,81587.47,0
212,82586911,Customer_211,825,Spain,Female,46,0,194363.87,1,1,0,122936.02,1
213,78227907,Customer_212,462,Germany,Male,56,0,168211.78,2,1,0,16981.04,1
214,88826934,Customer_213,463,France,Male,56,9,181063.63,2,0,0,94476.59,1
215,59905866,Customer_214,571,Spain,Male,18,2,123149.75,1,1,0,122948.94,1
216,91121402,Customer_215,515,Spain,Female,34,9,158352.94,2,1,0,31968.42,1
217,50657662,Customer_216,784,Spain,Male,58,9,201381.48,1,1,0,12103.16,1
218,16659908,Customer_217,668,France,Male,47,2,99471.04,2,0,1,53779.86,0
219,41378291,Customer_218,481,Germany,Female,30,3,201494.73,1,1,1,92340.12,0
220,73020641,Customer_219,734,France,Female,38,1,148004.21,3,0,0,29359.64,1
221,46634821,Customer_220,613,Spain,Female,36,8,41475.26,2,1,1,69657.13,0
222,29433354,Customer_221,762,France,Female,36,9,6171.04,1,1,0,87325.01,0
223,26887294,Customer_222,404,France,Female,42,6,90688.4,2,1,0,93843.63,0
224,83422991,Customer_223,708,Germany,Male,39,6,136674.08,2,0,1,48417.64,0
225,45562619,Customer_224,480,Germany,Female,48,5,209955.09,2,0,0,66004.15,1
226,45213498,Customer_225,637,Spain,Male,34,2,31871.42,1,0,0,118967.49,0
227,45703247,Customer_226,615,France,Male,40,5,200051.59,3,0,0,141770.06,1
228,50910172,Customer_227,807,France,Female,49,7,215752.26,3,0,1,130663.25,0
229,72744322,Customer_228,816,Germany,Female,27,7,37671.87,3,0,1,88999.69,0
230,67805563,Customer_229,715,France,Female,27,8,212898.58,1,1,1,67440.99,0
231,16404003,Customer_230,511,France,Male,53,0,247863.39,3,0,1,56613.93,1
232,81244178,Customer_231,729,France,Female,25,0,181709.71,1,1,0,27493.92,1
233,61939266,Customer_232,830,Germany,Female,69,2,196192.42,2,0,1,24917.17,1
234,43267858,Customer_233,436,Spain,Female,37,2,248603.82,2,0,1,106370.07,0
235,31114003,Customer_234,404,Spain,Female,49,9,151370.31,3,0,1,46371.22,0
236,96641503,Customer_235,825,France,Female,67,7,76971.6,1,1,0,45652.64,1
237,20421958,Customer_236,637,Spain,Male,31,9,209382.71,2,0,1,149747.31,0
238,87809459,Customer_237,527,Germany,Male,67,0,153621.44,1,0,1,36309.63,1
239,22984808,Customer_238,740,Germany,Male,45,1,145298.86,1,1,0,30728.37,1
240,24764960,Customer_239,698,Spain,Female,63,1,63408.89,2,1,0,23815.93,1
241,60402943,Customer_240,357,Spain,Female,69,2,189083.57,1,1,0,91172.75,1
242,86241446,Customer_241,670,France,Female,41,5,20416.82,2,1,0,97900.94,0
243,63777024,Customer_242,662,Spain,Male,32,0,231071.77,2,0,1,61131.91,0
244,93494666,Customer_243,596,France,Female,39,1,81455.87,2,1,0,84957.87,0
245,80721464,Customer_244,672,France,Female,47,0,31943.66,1,0,1,120375.93,0
246,94711896,Customer_245,821,Germany,Female,21,4,110591.63,2,0,1,124534.58,0
247,89214742,Customer_246,820,Germany,Male,30,6,10617.48,1,1,1,144107.69,0
248,53799966,Customer_247,792,Germany,Female,40,7,171156.55,2,0,1,125397.52,0
249,20047453,Customer_248,604,Germany,Male,25,9,225676.38,2,1,1,89077.8,0
250,45581225,Customer_249,677,Spain,Female,35,0,209315.75,3,0,0,35151.98,1
251,44109026,Customer_250,403,Germany,Male,29,6,31842.37,3,1,1,23966.9,0
252,52090758,Customer_251,598,Spain,Male,48,4,31567.78,3,1,1,17631.66,0
253,26037627,Customer_252,588,Germany,Male,31,9,203358.62,1,1,1,103313.62,0
254,90337039,Customer_253,578,Spain,Female,51,0,231063.57,1,1,0,123055.08,1
255,30281689,Customer_254,416,France,Female,35,2,115167.46,2,1,1,81215.75,0
256,67631343,Customer_255,400,Spain,Male,51,6,124742.78,2,1,1,17659.98,1
257,81450611,Customer_256,446,Spain,Male,28,9,79565.51,2,0,0,84965.88,0
258,56510960,Customer_257,441,Germany,Female,58,0,223566.28,2,0,1,141004.9,1
259,42797855,Customer_258,844,Spain,Female,29,6,161225.73,1,0,1,93665.85,0
260,44795514,Customer_259,613,France,Male,66,4,72062.89,2,1,0,123319.85,1
261,15184502,Customer_260,767,France,Female,32,0,74695.72,2,0,1,122021.37,0
262,33448674,Customer_261,640,Germany,Female,48,0,222800.02,3,1,1,140498.07,0
263,65223954,Customer_262,445,France,Female,66,0,3408.51,2,0,1,117832.03,0
264,40948143,Customer_263,437,Spain,Female,46,8,80681.64,2,0,1,114678.07,0
265,22503247,Customer_264,427,France,Male,43,2,138589.17,2,1,1,42774.37,0
266,64006163,Customer_265,637,Germany,Female,35,4,37054.37,1,0,0,18389.52,0
267,61910807,Customer_266,469,Spain,Female,49,9,23024.69,3,0,0,82463.93,0
268,64847136,Customer_267,651,Germany,Male,39,8,203819.08,2,0,0,27420.79,1
269,83150359,Customer_268,840,Spain,Male,55,5,223601.1,2,1,1,144707.42,1
270,40831219,Customer_269,749,France,Female,34,8,205901.61,3,0,1,50589.47,0
271,33101383,Customer_270,801,Germany,Female,40,7,224696.97,2,1,1,129412.19,0
272,27569187,Customer_271,849,Germany,Female,41,7,138277.99,1,0,0,64267.45,1
273,64710375,Customer_272,514,Spain,Female,67,0,203064.53,2,0,1,55247.19,1
274,64456147,Customer_273,531,Germany,Male,25,8,96010.66,1,0,1,140922.2,0
275,88110973,Customer_274,818,Spain,Male,58,5,166566.97,1,0,1,60865.16,1
276,49501026,Customer_275,747,Spain,Male,23,8,247208.88,2,1,0,64640.31,1
277,43163773,Customer_276,572,Spain,Female,22,2,56431.93,3,0,0,24852.85,0
278,21310552,Customer_277,660,Spain,Female,61,2,97474.94,1,1,1,103862.53,0
279,41146082,Customer_278,781,France,Female,46,5,120011.84,3,1,1,50437.52,0
280,31104792,Customer_279,815,Spain,Female,45,8,34503.87,2,0,1,91984.58,0
281,31739356,Customer_280,356,Germany,Male,28,6,20259.65,1,0,0,92789.24,0
282,21471761,Customer_281,679,France,Male,18,2,207430.72,2,1,0,110687.96,1
283,29576703,Customer_282,612,Germany,Female,60,2,244198.59,3,1,0,114333.81,1
284,85092305,Customer_283,510,France,Male,36,1,101181.27,2,0,1,82023.34,0
285,82429249,Customer_284,500,Spain,Female,26,8,21912.46,2,0,0,56338.87,0
286,28877237,Customer_285,434,France,Female,44,2,16452.94,1,0,1,127243.13,0
287,56918818,Customer_286,496,France,Male,51,4,222829.55,2,0,1,53381.19,1
288,33705256,Customer_287,461,Germany,Female,61,8,115953.56,2,0,0,81051.27,1
289,94504547,Customer_288,730,Germany,Female,21,7,80006.83,2,1,1,66175.36,0
290,87633091,Customer_289,752,Spain,Male,53,1,119115.32,1,0,0,129710.97,1
291,89452960,Customer_290,385,France,Female,35,2,79576.02,3,0,1,70468.59,0
292,65403796,Customer_291,634,France,Female,32,1,122258.94,3,1,1,64053.89,0
293,33508102,Customer_292,537,France,Male,68,7,214889.1,2,0,0,106575.32,1
294,19405634,Customer_293,431,Spain,Female,30,5,148075.34,1,0,1,94341.76,0
295,15853584,Customer_294,351,Spain,Male,36,5,173663.44,2,1,1,25014.56,0
296,34947744,Customer_295,734,Spain,Female,66,8,91167.67,3,0,1,81143.63,0
297,58491183,Customer_296,652,Spain,Male,23,7,184626.47,1,1,1,112966.97,0
298,47856186,Customer_297,546,Spain,Male,65,3,166654.27,3,0,1,148890.47,1
299,58673237,Customer_298,753,Germany,Male,29,3,29890.5,3,0,1,98080.56,0
300,75293686,Customer_299,360,France,Female,68,8,143160.71,1,0,1,61841.03,1
301,11983509,Customer_300,583,France,Male,54,0,64185.87,1,1,1,41661.22,0
302,28298917,Customer_301,735,France,Male,34,1,201023.92,2,1,0,132196.23,1
303,53563237,Customer_302,544,France,Male,40,1,106484.43,2,1,0,124039.13,1
304,87729132,Customer_303,820,France,Male,43,5,248671.04,3,1,1,42749.19,0
305,87275698,Customer_304,468,France,Male,46,3,23125.11,1,0,1,38088.49,0
306,83214389,Customer_305,745,France,Female,50,9,195086.97,1,1,0,110119.15,1
307,36365210,Customer_306,369,France,Female,44,2,168425.43,2,1,1,54093.29,0
308,68245345,Customer_307,610,Germany,Female,42,2,191874.71,3,1,0,52895.83,1
309,37180308,Customer_308,642,France,Female,27,2,76882.45,3,0,0,31320.63,0
310,21326237,Customer_309,771,Germany,Female,64,5,123013.62,2,0,0,46956.57,1
311,96343264,Customer_310,605,Spain,Female,40,7,199127.13,1,1,1,69851.06,0
312,71864219,Customer_311,571,France,Female,38,6,58135.33,2,1,1,112597.37,0
313,64434670,Customer_312,742,Spain,Male,38,3,56508.3,2,0,1,57083.13,0
314,97692768,Customer_313,575,Spain,Female,60,3,137762.74,2,1,0,56004.61,1
315,43255876,Customer_314,402,Spain,Male,30,9,130890.89,2,1,0,49887.86,1
316,59114107,Customer_315,777,Germany,Male,54,1,70565.62,1,1,0,76959.71,1
317,25900476,Customer_316,704,Spain,Female,50,0,74518.91,2,1,1,35289.14,0
318,50820227,Customer_317,849,Spain,Male,41,8,69461.29,1,0,0,77988.3,0
319,89688895,Customer_318,691,Spain,Male,61,1,192878.02,2,0,0,108584.58,1
320,97927856,Customer_319,713,France,Male,28,7,162975.22,3,0,1,14170.67,0
321,63059071,Customer_320,629,France,Male,34,8,208104.3,1,1,0,11369.11,1
322,99595920,Customer_321,430,Germany,Female,21,3,243868.26,3,1,0,20517.21,1
323,22707035,Customer_322,551,Germany,Female,64,7,118541.07,2,0,1,84992.41,1
324,15130397,Customer_323,507,France,Female,42,8,16673.47,2,0,1,129623.71,0
325,80560220,Customer_324,469,Germany,Female,47,9,12023.08,2,0,0,10683.83,0
326,46998516,Customer_325,408,France,Female,26,9,73916.26,1,1,1,141132.58,0
327,46481541,Customer_326,843,Spain,Female,38,4,233136.15,3,0,0,24878.99,1
